GeneID Chr Strand NExons P.Value FDR
MSTRG.1085 chr15 + 2 0.6996941 1
MSTRG.1087 chr15 + 2 0.9031793 1
MSTRG.1089 chr15 + 2 0.7771369 1
MSTRG.1090 chr15 + 2 0.7804553 1
MSTRG.1100 chr15 + 3 0.5704384 1
MSTRG.1109 chr15 + 4 0.9723173 1
MSTRG.111 chr15 + 360 0.737323 1
MSTRG.1110 chr15 + 2 0.4727659 1
MSTRG.1113 chr15 + 2 0.7206509 1
MSTRG.1115 chr15 + 2 0.4072948 1
MSTRG.1116 chr15 + 22 0.7683309 1
MSTRG.1123 chr15 + 8 0.07489904 0.5750048
MSTRG.1127 chr15 + 42 0.6846509 1
MSTRG.1132 chr15 + 2 0.9962236 1
MSTRG.1146 chr15 + 29 0.1212585 0.7650269
MSTRG.1155 chr15 + 4 0.9690996 1
MSTRG.1172 chr15 + 2 0.8457869 1
MSTRG.1173 chr15 + 4 0.2639501 1
MSTRG.1174 chr15 + 2 0.679134 1
MSTRG.1176 chr15 + 4 0.9527058 1
MSTRG.1182 chr15 + 91 2.421045E-91 2.486413E-88
MSTRG.1183 chr15 + 9 0.4441596 1
MSTRG.1186 chr15 + 16 0.7529637 1
MSTRG.1189 chr15 + 22 0.9998303 1
MSTRG.1190 chr15 + 11 0.6502616 1
MSTRG.1191 chr15 + 91 0.7462866 1
MSTRG.1193 chr15 + 2 0.7148949 1
MSTRG.1196 chr15 + 2 0.9961681 1
MSTRG.1202 chr15 + 2 0.9462499 1
MSTRG.1204 chr15 + 2 0.4662369 1
MSTRG.1205 chr15 + 1092 0.9951707 1
MSTRG.1208 chr15 + 2 0.7072432 1
MSTRG.1212 chr15 + 3 0.8744472 1
MSTRG.1215 chr15 + 3 0.9443463 1
MSTRG.1216 chr15 + 3 0.1131404 0.754514
MSTRG.1221 chr15 + 2 0.2936576 1
MSTRG.1222 chr15 + 52 0.9785837 1
MSTRG.1228 chr15 + 9 0.3562707 1
MSTRG.1234 chr15 + 27 0.003463898 0.06352542
MSTRG.1236 chr15 + 73 0.1251456 0.7650269
MSTRG.1237 chr15 + 11 0.6313991 1
MSTRG.1239 chr15 + 10 0.5270746 1
MSTRG.1247 chr15 + 108 0.02286315 0.260894
MSTRG.1248 chr15 + 2 0.7739035 1
MSTRG.1253 chr15 + 4 0.2510202 1
MSTRG.1255 chr15 + 2 0.1156409 0.7564534
MSTRG.1269 chr15 + 6 0.3315634 1
MSTRG.1271 chr15 + 2 0.5229634 1
MSTRG.1273 chr15 + 41 0.9843045 1
MSTRG.1288 chr15 + 74 0.8462633 1
MSTRG.1291 chr15 + 2 0.7200279 1
MSTRG.1293 chr15 + 8 0.9905105 1
MSTRG.1302 chr15 + 2 0.9959399 1
MSTRG.1303 chr15 + 135 0.761404 1
MSTRG.1307 chr15 + 11 0.9123883 1
MSTRG.1309 chr15 + 2 0.9800544 1
MSTRG.1312 chr15 + 31 0.7534645 1
MSTRG.1314 chr15 + 3 0.899512 1
MSTRG.1315 chr15 + 35 0.3192693 1
MSTRG.1318 chr15 + 4 0.5719504 1
MSTRG.1322 chr15 + 3 0.2591694 1
MSTRG.1323 chr15 + 84 0.07814979 0.5858382
MSTRG.1325 chr15 + 2 0.5423624 1
MSTRG.1330 chr15 + 27 0.991541 1
MSTRG.1336 chr15 + 10 0.9695451 1
MSTRG.1338 chr15 + 7 0.3859631 1
MSTRG.1341 chr15 + 17 0.1112984 0.7519965
MSTRG.1345 chr15 + 9 0.2962647 1
MSTRG.1347 chr15 + 2 0.05761168 0.4889851
MSTRG.1363 chr15 + 2 0.5123263 1
MSTRG.1365 chr15 + 2 0.3246556 1
MSTRG.1368 chr15 + 34 0.4761181 1
MSTRG.137 chr15 + 4 1 1
MSTRG.1370 chr15 + 2 0.5020841 1
MSTRG.1372 chr15 + 5 0.3918913 1
MSTRG.1375 chr15 + 3 0.8888435 1
MSTRG.1377 chr15 + 2 0.9783338 1
MSTRG.1379 chr15 + 2 0.8854233 1
MSTRG.1380 chr15 + 5 0.9146138 1
MSTRG.1383 chr15 + 7 0.7127233 1
MSTRG.1392 chr15 + 2 0.9527448 1
MSTRG.1396 chr15 + 98 2.561085E-16 4.383724E-14
MSTRG.1400 chr15 + 3 0.1697982 0.8683135
MSTRG.1411 chr15 + 7 0.2708938 1
MSTRG.142 chr15 + 2 0.3228819 1
MSTRG.1426 chr15 + 4 0.9452445 1
MSTRG.1428 chr15 + 63 0.1885184 0.910723
MSTRG.1430 chr15 + 2 1 1
MSTRG.1432 chr15 + 90 0.7069203 1
MSTRG.1437 chr15 + 26 0.7851517 1
MSTRG.1440 chr15 + 29 0.02007661 0.2349741
MSTRG.1448 chr15 + 3 0.8938882 1
MSTRG.1449 chr15 + 3 0.9994916 1
MSTRG.145 chr15 + 2 0.7368512 1
MSTRG.1457 chr15 + 3 0.9755748 1
MSTRG.1465 chr15 + 5 0.05452342 0.4765928
MSTRG.1468 chr15 + 2 0.3636494 1
MSTRG.1469 chr15 + 5 0.9306341 1
MSTRG.147 chr15 + 2 0.2011259 0.9241567
MSTRG.1472 chr15 + 11 7.782541E-09 6.148207E-07
MSTRG.1475 chr15 + 3 0.3378498 1
MSTRG.1479 chr15 + 2 0.9556806 1
MSTRG.148 chr15 + 30 1 1
MSTRG.1480 chr15 + 14 0.6268151 1
MSTRG.1481 chr15 + 4 0.4714902 1
MSTRG.1483 chr15 + 3 1 1
MSTRG.1485 chr15 + 63 0.8835667 1
MSTRG.1487 chr15 + 2 0.2847933 1
MSTRG.1489 chr15 + 2 0.1942917 0.9150096
MSTRG.1492 chr15 + 3 0.1143184 0.7564534
MSTRG.1496 chr15 + 2 0.9671937 1
MSTRG.1497 chr15 + 396 0.9584148 1
MSTRG.1499 chr15 + 26 0.9778648 1
MSTRG.1501 chr15 + 3 0.1570207 0.8442943
MSTRG.1503 chr15 + 12 0.1468738 0.8240591
MSTRG.1508 chr15 + 2 0.6847417 1
MSTRG.1510 chr15 + 16 0.1865602 0.910723
MSTRG.1513 chr15 + 16 0.5519103 1
MSTRG.1518 chr15 + 8 0.8281993 1
MSTRG.1524 chr15 + 43 0.8352177 1
MSTRG.1525 chr15 + 33 0.9596037 1
MSTRG.1527 chr15 + 2 0.07410448 0.5750048
MSTRG.1528 chr15 + 2 0.3255074 1
MSTRG.1529 chr15 + 2 0.0943884 0.6639513
MSTRG.1534 chr15 + 11 0.06082385 0.5120172
MSTRG.1537 chr15 + 7 1 1
MSTRG.1539 chr15 + 26 0.9447485 1
MSTRG.1543 chr15 + 3 0.9432648 1
MSTRG.1549 chr15 + 2 1 1
MSTRG.1550 chr15 + 44 0.4063328 1
MSTRG.1554 chr15 + 4 0.7784367 1
MSTRG.1559 chr15 + 101 0.9697382 1
MSTRG.1560 chr15 + 60 0.2333493 1
MSTRG.1565 chr15 + 35 0.5896009 1
MSTRG.1572 chr15 + 3 0.4634017 1
MSTRG.1573 chr15 + 2 0.8605745 1
MSTRG.1574 chr15 + 38 0.9209953 1
MSTRG.1575 chr15 + 21 2.400106E-06 0.0001027045
MSTRG.1581 chr15 + 2 0.7392247 1
MSTRG.1583 chr15 + 22 0.7037539 1
MSTRG.1584 chr15 + 2 0.2991887 1
MSTRG.1586 chr15 + 37 0.9083919 1
MSTRG.1587 chr15 + 15 0.2624268 1
MSTRG.1589 chr15 + 2 0.9394251 1
MSTRG.1591 chr15 + 2 0.9986769 1
MSTRG.1592 chr15 + 2 0.8260172 1
MSTRG.1594 chr15 + 2 0.9912218 1
MSTRG.1597 chr15 + 2 0.4956915 1
MSTRG.1605 chr15 + 2 0.781359 1
MSTRG.1611 chr15 + 30 0.8496223 1
MSTRG.1612 chr15 + 2 0.9508985 1
MSTRG.1613 chr15 + 4 0.8422127 1
MSTRG.1615 chr15 + 29 0.02573472 0.28252
MSTRG.1627 chr15 + 23 3.239251E-06 0.0001330684
MSTRG.1629 chr15 + 2 0.5173711 1
MSTRG.163 chr15 + 16 0.9408772 1
MSTRG.1631 chr15 + 3 0.6497329 1
MSTRG.1642 chr15 + 59 0.8665039 1
MSTRG.1646 chr15 + 8 0.7269325 1
MSTRG.1648 chr15 + 6 0.5478828 1
MSTRG.1649 chr15 + 4 0.4336551 1
MSTRG.1651 chr15 + 22 0.985012 1
MSTRG.1652 chr15 + 7 0.8748431 1
MSTRG.1654 chr15 + 26 0.7313186 1
MSTRG.1655 chr15 + 5 0.6549913 1
MSTRG.1657 chr15 + 3 0.7609755 1
MSTRG.1668 chr15 + 2 0.6002988 1
MSTRG.1686 chr15 + 2 0.02587571 0.28252
MSTRG.1687 chr15 + 3 0.7847323 1
MSTRG.1693 chr15 + 6 0.5816484 1
MSTRG.1697 chr15 + 3 0.5647028 1
MSTRG.170 chr15 + 3 0.9889346 1
MSTRG.1704 chr15 + 2 0.2911377 1
MSTRG.1707 chr15 + 61 0.931451 1
MSTRG.1709 chr15 + 60 0.3593685 1
MSTRG.1712 chr15 + 2 0.6254858 1
MSTRG.1717 chr15 + 99 0.962374 1
MSTRG.1719 chr15 + 143 0.6537237 1
MSTRG.1723 chr15 + 43 0.9903262 1
MSTRG.1726 chr15 + 5 0.6863302 1
MSTRG.1733 chr15 + 2 0.247193 1
MSTRG.1738 chr15 + 2 0.9599842 1
MSTRG.174 chr15 + 2 0.6253589 1
MSTRG.1744 chr15 + 7 0.4361921 1
MSTRG.1747 chr15 + 48 0.9792706 1
MSTRG.1750 chr15 + 10 0.3833508 1
MSTRG.1753 chr15 + 6 0.4834009 1
MSTRG.1760 chr15 + 29 0.4331043 1
MSTRG.1769 chr15 + 2 0.2330609 1
MSTRG.1770 chr15 + 2 0.9169762 1
MSTRG.1773 chr15 + 14 0.013828 0.19118
MSTRG.1775 chr15 + 2 0.8519751 1
MSTRG.1776 chr15 + 2 0.001047399 0.02444725
MSTRG.1777 chr15 + 28 0.6262669 1
MSTRG.178 chr15 + 392 0.00248436 0.05002819
MSTRG.1783 chr15 + 33 0.4580742 1
MSTRG.1785 chr15 + 18 0.003293229 0.06263233
MSTRG.1787 chr15 + 3 0.7330547 1
MSTRG.1795 chr15 + 4 0.8464707 1
MSTRG.1800 chr15 + 3 0.1358786 0.7974134
MSTRG.1802 chr15 + 44 0.9401025 1
MSTRG.1803 chr15 + 4 0.9855547 1
MSTRG.1807 chr15 + 2 0.9816935 1
MSTRG.1810 chr15 + 59 0.8731807 1
MSTRG.1812 chr15 + 114 0.5463001 1
MSTRG.1813 chr15 + 60 0.9771931 1
MSTRG.1817 chr15 + 2 0.9363868 1
MSTRG.1823 chr15 + 2 0.8753011 1
MSTRG.1825 chr15 + 2 0.7700575 1
MSTRG.1826 chr15 + 17 0.08956566 0.6477742
MSTRG.1829 chr15 + 2 0.9341597 1
MSTRG.1835 chr15 + 3 0.147522 0.8240591
MSTRG.1838 chr15 + 5 0.8535814 1
MSTRG.1840 chr15 + 9 0.1216411 0.7650269
MSTRG.1841 chr15 + 15 0.2985301 1
MSTRG.1844 chr15 + 303 0.01628772 0.2117404
MSTRG.1849 chr15 + 2 0.3117707 1
MSTRG.1853 chr15 + 3 0.115319 0.7564534
MSTRG.1877 chr15 + 13 0.9111322 1
MSTRG.1901 chr15 + 2 0.3740927 1
MSTRG.1916 chr15 + 37 0.8552434 1
MSTRG.1918 chr15 + 7 0.5734893 1
MSTRG.1921 chr15 + 2 0.7718822 1
MSTRG.1928 chr15 + 49 1 1
MSTRG.1930 chr15 + 2 0.9168557 1
MSTRG.1935 chr15 + 4 0.5596909 1
MSTRG.1938 chr15 + 4 0.7619983 1
MSTRG.1942 chr15 + 47 0.6706222 1
MSTRG.1943 chr15 + 12 0.9427421 1
MSTRG.1949 chr15 + 23 0.9851074 1
MSTRG.1950 chr15 + 15 0.8019717 1
MSTRG.1956 chr15 + 2 0.2893402 1
MSTRG.1957 chr15 + 2 0.7310161 1
MSTRG.1961 chr15 + 25 0.1390247 0.8066572
MSTRG.1965 chr15 + 73 0.1779476 0.8958438
MSTRG.1971 chr15 + 112 0.9878553 1
MSTRG.1972 chr15 + 116 0.9635053 1
MSTRG.1974 chr15 + 151 0.718902 1
MSTRG.1976 chr15 + 57 0.1321813 0.7938606
MSTRG.1987 chr15 + 21 0.03295672 0.3318289
MSTRG.1991 chr15 + 5 0.8766902 1
MSTRG.2001 chr15 + 105 0.005302903 0.08509502
MSTRG.2011 chr15 + 194 0.6386162 1
MSTRG.2022 chr15 + 8 0.6734571 1
MSTRG.2028 chr15 + 2 0.4870241 1
MSTRG.2029 chr15 + 4 0.8808431 1
MSTRG.2031 chr15 + 2 0.6946378 1
MSTRG.2044 chr15 + 2 0.8489523 1
MSTRG.2074 chr15 + 52 0.8909493 1
MSTRG.2083 chr15 + 12 0.2736561 1
MSTRG.2094 chr15 + 5 0.8510128 1
MSTRG.2098 chr15 + 2 0.5166409 1
MSTRG.2102 chr15 + 8 0.7974724 1
MSTRG.2103 chr15 + 2 0.7085233 1
MSTRG.2108 chr15 + 2 0.002751882 0.05332421
MSTRG.2110 chr15 + 2 0.9062249 1
MSTRG.2119 chr15 + 2 0.4978498 1
MSTRG.2121 chr15 + 9 0.587629 1
MSTRG.2127 chr15 + 31 0.4733536 1
MSTRG.2131 chr15 + 9 1.877716E-08 1.377439E-06
MSTRG.2134 chr15 + 4 0.4672082 1
MSTRG.2137 chr15 + 2 0.6662869 1
MSTRG.2138 chr15 + 95 0.8880445 1
MSTRG.2140 chr15 + 33 0.3896672 1
MSTRG.2141 chr15 + 2 0.0425533 0.4085104
MSTRG.2143 chr15 + 10 0.508354 1
MSTRG.2148 chr15 + 2 0.9989198 1
MSTRG.2151 chr15 + 77 0.9138968 1
MSTRG.2153 chr15 + 30 0.812619 1
MSTRG.2155 chr15 + 2 0.4052669 1
MSTRG.2162 chr15 + 4 0.2141647 0.9604678
MSTRG.2163 chr15 + 76 0.0002881968 0.00737629
MSTRG.2165 chr15 + 2 0.05172667 0.4659937
MSTRG.2166 chr15 + 2 0.01530911 0.2068744
MSTRG.2172 chr15 + 5 0.313497 1
MSTRG.2177 chr15 + 7 0.3489254 1
MSTRG.2179 chr15 + 2 0.170788 0.8683135
MSTRG.2182 chr15 + 2 0.6281418 1
MSTRG.2183 chr15 + 2 0.8867376 1
MSTRG.2194 chr15 + 11 0.8604061 1
MSTRG.2196 chr15 + 57 4.017746E-17 8.25245E-15
MSTRG.2199 chr15 + 2 0.8064231 1
MSTRG.220 chr15 + 2 0.7666508 1
MSTRG.2200 chr15 + 134 0.7245576 1
MSTRG.2216 chr15 + 2 0.4524398 1
MSTRG.2219 chr15 + 42 0.004262546 0.07419719
MSTRG.2220 chr15 + 2 0.2987041 1
MSTRG.2226 chr15 + 9 0.3302315 1
MSTRG.2228 chr15 + 2 0.3330917 1
MSTRG.2229 chr15 + 19 0.699354 1
MSTRG.2236 chr15 + 73 1.210189E-05 0.0004285738
MSTRG.2240 chr15 + 4 0.4027868 1
MSTRG.2249 chr15 + 3 0.6440177 1
MSTRG.2255 chr15 + 82 0.818667 1
MSTRG.232 chr15 + 337 0.8388863 1
MSTRG.239 chr15 + 6 0.9171224 1
MSTRG.246 chr15 + 2 0.9925244 1
MSTRG.247 chr15 + 95 0.7803735 1
MSTRG.252 chr15 + 139 0.508867 1
MSTRG.257 chr15 + 6 0.7577359 1
MSTRG.259 chr15 + 2 0.6799214 1
MSTRG.263 chr15 + 7 0.7607063 1
MSTRG.270 chr15 + 7 0.09080884 0.6521726
MSTRG.272 chr15 + 10 0.9209992 1
MSTRG.275 chr15 + 2 0.2837459 1
MSTRG.28 chr15 + 2 0.9425171 1
MSTRG.283 chr15 + 3 1 1
MSTRG.287 chr15 + 59 0.0001147608 0.003101562
MSTRG.290 chr15 + 67 0.4329736 1
MSTRG.303 chr15 + 2 0.779116 1
MSTRG.304 chr15 + 4 0.8774104 1
MSTRG.307 chr15 + 2 0.9651932 1
MSTRG.310 chr15 + 2 0.4771713 1
MSTRG.32 chr15 + 48 0.7761796 1
MSTRG.321 chr15 + 2 0.1192172 0.7650269
MSTRG.327 chr15 + 5 0.1267248 0.7673901
MSTRG.333 chr15 + 2 0.9709497 1
MSTRG.337 chr15 + 12 0.01243586 0.1749539
MSTRG.339 chr15 + 3 0.4132046 1
MSTRG.343 chr15 + 2 0.3043201 1
MSTRG.344 chr15 + 12 0.3994007 1
MSTRG.354 chr15 + 6 0.1182622 0.7650269
MSTRG.358 chr15 + 144 0.8327233 1
MSTRG.360 chr15 + 2 0.6247144 1
MSTRG.37 chr15 + 2 0.8825377 1
MSTRG.370 chr15 + 2 0.3750798 1
MSTRG.373 chr15 + 2 0.04406498 0.415181
MSTRG.374 chr15 + 5 0.8694504 1
MSTRG.376 chr15 + 5 0.9298203 1
MSTRG.384 chr15 + 8 1 1
MSTRG.386 chr15 + 2 0.2349612 1
MSTRG.39 chr15 + 6 0.785511 1
MSTRG.391 chr15 + 2 0.9593832 1
MSTRG.404 chr15 + 2 2.358926E-12 3.028272E-10
MSTRG.412 chr15 + 8 0.6224891 1
MSTRG.413 chr15 + 2 0.6865907 1
MSTRG.415 chr15 + 5 0.2782257 1
MSTRG.433 chr15 + 2 0.6351924 1
MSTRG.436 chr15 + 3 0.9339771 1
MSTRG.445 chr15 + 3 0.9701478 1
MSTRG.447 chr15 + 42 0.2625304 1
MSTRG.449 chr15 + 34 0.7200269 1
MSTRG.45 chr15 + 7 0.7786339 1
MSTRG.450 chr15 + 12 0.4547421 1
MSTRG.452 chr15 + 4 1 1
MSTRG.459 chr15 + 2 0.00806041 0.1217359
MSTRG.460 chr15 + 2 0.8776287 1
MSTRG.464 chr15 + 2 0.761163 1
MSTRG.467 chr15 + 181 0.7173107 1
MSTRG.469 chr15 + 2 0.924058 1
MSTRG.477 chr15 + 3 0.05005465 0.4574592
MSTRG.483 chr15 + 4 0.86445 1
MSTRG.486 chr15 + 15 0.08243056 0.6090373
MSTRG.502 chr15 + 44 0.001775183 0.03878963
MSTRG.512 chr15 + 3 0.3585458 1
MSTRG.519 chr15 + 2 0.8095598 1
MSTRG.522 chr15 + 2 0.9689251 1
MSTRG.534 chr15 + 12 0.1698379 0.8683135
MSTRG.535 chr15 + 8 0.5658371 1
MSTRG.545 chr15 + 2 0.1884762 0.910723
MSTRG.547 chr15 + 2 0.2131768 0.9602304
MSTRG.55 chr15 + 40 0.04751463 0.4396174
MSTRG.562 chr15 + 44 0.4073547 1
MSTRG.566 chr15 + 2 0.9920885 1
MSTRG.567 chr15 + 39 0.1686533 0.8683135
MSTRG.571 chr15 + 5 0.8629899 1
MSTRG.572 chr15 + 29 0.04488855 0.4190958
MSTRG.573 chr15 + 3 0.8347979 1
MSTRG.579 chr15 + 2 0.9968197 1
MSTRG.580 chr15 + 36 0.781554 1
MSTRG.582 chr15 + 3 0.2609083 1
MSTRG.583 chr15 + 56 0.9805283 1
MSTRG.587 chr15 + 4 0.9024232 1
MSTRG.59 chr15 + 2 0.9913305 1
MSTRG.591 chr15 + 2 0.8176058 1
MSTRG.598 chr15 + 61 0.1683191 0.8683135
MSTRG.60 chr15 + 5 0.9130729 1
MSTRG.608 chr15 + 2 0.7002827 1
MSTRG.61 chr15 + 2 0.7839326 1
MSTRG.612 chr15 + 16 0.6524051 1
MSTRG.613 chr15 + 10 0.6323388 1
MSTRG.615 chr15 + 24 0.5471509 1
MSTRG.62 chr15 + 2 0.7679417 1
MSTRG.620 chr15 + 2 0.9999446 1
MSTRG.622 chr15 + 2 0.3419668 1
MSTRG.623 chr15 + 3 0.2221453 0.987633
MSTRG.628 chr15 + 30 0.02613378 0.28252
MSTRG.630 chr15 + 13 0.8817164 1
MSTRG.634 chr15 + 39 0.01873049 0.2263083
MSTRG.639 chr15 + 2 0.5441834 1
MSTRG.640 chr15 + 20 0.004806056 0.07834634
MSTRG.642 chr15 + 11 0.002580672 0.05096828
MSTRG.644 chr15 + 4 0.9669181 1
MSTRG.646 chr15 + 69 0.3372102 1
MSTRG.648 chr15 + 2 0.8816845 1
MSTRG.654 chr15 + 65 0.0935441 0.6639513
MSTRG.656 chr15 + 2 0.4141865 1
MSTRG.67 chr15 + 2 0.855268 1
MSTRG.672 chr15 + 2 0.705744 1
MSTRG.684 chr15 + 4 0.4026429 1
MSTRG.685 chr15 + 21 0.1233464 0.7650269
MSTRG.691 chr15 + 314 0.322082 1
MSTRG.700 chr15 + 33 0.001436252 0.03277846
MSTRG.701 chr15 + 4 0.1585393 0.84802
MSTRG.704 chr15 + 4 0.0201341 0.2349741
MSTRG.706 chr15 + 13 0.8430746 1
MSTRG.715 chr15 + 3 0.5888619 1
MSTRG.717 chr15 + 35 7.847056E-05 0.002238591
MSTRG.719 chr15 + 6 1.491005E-05 0.0005104207
MSTRG.720 chr15 + 36 0.05422996 0.4765928
MSTRG.723 chr15 + 13 0.3422583 1
MSTRG.725 chr15 + 14 1 1
MSTRG.728 chr15 + 11 1 1
MSTRG.733 chr15 + 13 0.466046 1
MSTRG.735 chr15 + 33 3.868397E-06 0.0001528017
MSTRG.745 chr15 + 3 0.01720758 0.2157593
MSTRG.751 chr15 + 83 0.9091747 1
MSTRG.759 chr15 + 177 6.528274E-07 3.047517E-05
MSTRG.761 chr15 + 26 0.3120728 1
MSTRG.765 chr15 + 6 0.4398888 1
MSTRG.766 chr15 + 22 0.7310306 1
MSTRG.768 chr15 + 2 0.8468511 1
MSTRG.77 chr15 + 2 2.770032E-05 0.0008620676
MSTRG.771 chr15 + 28 0.3842599 1
MSTRG.772 chr15 + 21 0.3290192 1
MSTRG.774 chr15 + 4 0.2721117 1
MSTRG.776 chr15 + 3 0.4142441 1
MSTRG.779 chr15 + 53 0.9385037 1
MSTRG.783 chr15 + 32 0.6273277 1
MSTRG.785 chr15 + 5 0.5810849 1
MSTRG.786 chr15 + 11 0.1439738 0.8240591
MSTRG.787 chr15 + 4 0.5667523 1
MSTRG.791 chr15 + 4 0.003947941 0.06990578
MSTRG.794 chr15 + 31 0.145849 0.8240591
MSTRG.802 chr15 + 11 0.347651 1
MSTRG.803 chr15 + 64 0.972544 1
MSTRG.804 chr15 + 2 0.890227 1
MSTRG.806 chr15 + 3 0.3820649 1
MSTRG.808 chr15 + 18 0.3042757 1
MSTRG.811 chr15 + 7 0.1125762 0.754514
MSTRG.815 chr15 + 2 0.9288465 1
MSTRG.817 chr15 + 19 0.4169049 1
MSTRG.819 chr15 + 459 0.1108195 0.7519965
MSTRG.824 chr15 + 2 0.2290532 1
MSTRG.825 chr15 + 198 0.8454717 1
MSTRG.84 chr15 + 2 0.4346997 1
MSTRG.841 chr15 + 66 0.3328782 1
MSTRG.842 chr15 + 119 0.1834092 0.910723
MSTRG.845 chr15 + 24 0.707515 1
MSTRG.847 chr15 + 2 0.01101662 0.1606474
MSTRG.848 chr15 + 24 0.9499262 1
MSTRG.849 chr15 + 80 0.950409 1
MSTRG.855 chr15 + 2 0.890227 1
MSTRG.858 chr15 + 18 0.9202607 1
MSTRG.860 chr15 + 2 0.8970165 1
MSTRG.864 chr15 + 23 0.7624491 1
MSTRG.866 chr15 + 43 0.009645479 0.1435639
MSTRG.873 chr15 + 4 0.5362178 1
MSTRG.881 chr15 + 42 7.444169E-05 0.002184332
MSTRG.902 chr15 + 19 0.5925165 1
MSTRG.907 chr15 + 11 0.571978 1
MSTRG.911 chr15 + 31 0.4457393 1
MSTRG.918 chr15 + 26 0.9230116 1
MSTRG.922 chr15 + 9 6.028898E-06 0.0002211314
MSTRG.924 chr15 + 3 0.002228575 0.04670911
MSTRG.930 chr15 + 6 0.6122776 1
MSTRG.932 chr15 + 3 0.2015687 0.9241567
MSTRG.938 chr15 + 6 0.9696906 1
MSTRG.940 chr15 + 19 0.918735 1
MSTRG.943 chr15 + 2 0.5983893 1
MSTRG.946 chr15 + 14 0.1370231 0.7995607
MSTRG.952 chr15 + 3 0.5371984 1
MSTRG.953 chr15 + 135 0.4594938 1
MSTRG.957 chr15 + 3 0.2427995 1
MSTRG.967 chr15 + 42 0.5732201 1
MSTRG.974 chr15 + 2 0.1509417 0.8334256
MSTRG.978 chr15 + 3 0.7600067 1
MSTRG.981 chr15 + 4 0.9982145 1
MSTRG.992 chr15 + 5 0.9422666 1
MSTRG.998 chr15 + 3 0.7396685 1
