Coefficient:  group2 group3 group4 
           GeneID   Chr     Start       End Strand Length  logFC.group2
19703  MSTRG.1205 chr15  63055762  63055894      +    133  8.843981e-01
27067  MSTRG.1578 chr15  76225024  76225471      -    448 -7.041266e-01
14754   MSTRG.942 chr15  50545797  50545863      -     67  2.994061e+00
14766   MSTRG.942 chr15  50545797  50545863      -     67  2.994061e+00
15348   MSTRG.986 chr15  53229041  53230628      -   1588  6.514992e-01
11269   MSTRG.759 chr15  40705190  40707181      +   1992 -1.535804e+00
30662  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30699  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30729  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30758  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30788  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30818  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30848  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30877  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30906  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
30928  MSTRG.1844 chr15  86270612  86270694      +     83 -2.666517e+00
7383    MSTRG.562 chr15  39874030  39874125      +     96 -8.260383e-01
7405    MSTRG.562 chr15  39874030  39874125      +     96 -8.260383e-01
28672  MSTRG.1719 chr15  81241138  81244003      +   2866  4.408595e+00
28701  MSTRG.1719 chr15  81241138  81244003      +   2866  4.408595e+00
28731  MSTRG.1719 chr15  81241138  81244003      +   2866  4.408595e+00
31270  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
31277  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
31283  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
31289  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
31294  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
31300  MSTRG.1916 chr15  89018341  89018470      +    130 -1.307379e+00
6575    MSTRG.467 chr15  34129107  34131159      +   2053  3.279239e+00
10349   MSTRG.735 chr15  44085908  44088287      +   2380 -1.934235e+00
10352   MSTRG.735 chr15  44085908  44088287      +   2380 -1.934235e+00
10371   MSTRG.735 chr15  44085908  44088287      +   2380 -1.934235e+00
30290  MSTRG.1813 chr15  84639236  84639389      +    154 -2.695982e+00
30320  MSTRG.1813 chr15  84639236  84639389      +    154 -2.695982e+00
31288  MSTRG.1916 chr15  89015878  89015956      +     79 -1.302546e+00
14563   MSTRG.917 chr15  52202648  52202847      -    200  1.265879e+00
28853  MSTRG.1723 chr15  81578039  81578171      +    133 -3.921828e+00
28871  MSTRG.1723 chr15  81578039  81578171      +    133 -3.921828e+00
29584  MSTRG.1771 chr15  83378346  83378660      -    315  7.306995e+00
29609  MSTRG.1771 chr15  83378346  83378660      -    315  7.306995e+00
29636  MSTRG.1771 chr15  83378346  83378660      -    315  7.306995e+00
15238   MSTRG.960 chr15  51023162  51023236      -     75 -1.772429e+00
29884  MSTRG.1788 chr15  83510345  83518655      -   8311  9.238942e-02
24235  MSTRG.1470 chr15  72490072  72490136      -     65  1.422243e+00
31168  MSTRG.1908 chr15  88524457  88524591      -    135  3.201096e+00
31182  MSTRG.1908 chr15  88524457  88524591      -    135  3.201096e+00
31222  MSTRG.1908 chr15  88524457  88524591      -    135  3.201096e+00
31236  MSTRG.1908 chr15  88524457  88524591      -    135  3.201096e+00
34683  MSTRG.2207 chr15 102226099 102226265      -    167 -7.200986e-01
32692  MSTRG.2001 chr15  91642795  91643593      +    799  8.432802e+00
32718  MSTRG.2001 chr15  91642838  91643593      +    756  8.432802e+00
32732  MSTRG.2001 chr15  91642919  91643593      +    675  8.432802e+00
25102  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25131  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25160  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25189  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25218  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25245  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25272  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25300  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25329  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25357  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25385  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25414  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25443  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
25473  MSTRG.1497 chr15  73552612  73552806      +    195  2.915023e+00
23266  MSTRG.1387 chr15  70969447  70969479      -     33 -3.433706e+00
23285  MSTRG.1387 chr15  70969447  70969479      -     33 -3.433706e+00
23304  MSTRG.1387 chr15  70969447  70969479      -     33 -3.433706e+00
14569   MSTRG.918 chr15  52186012  52186142      +    131 -6.667732e-01
14580   MSTRG.918 chr15  52186012  52186142      +    131 -6.667732e-01
10355   MSTRG.735 chr15  44085885  44088287      +   2403 -1.930463e+00
975     MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1013    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1052    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1089    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1127    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1163    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1199    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1229    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1261    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1287    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
1302    MSTRG.111 chr15  25354145  25354250      +    106 -1.952374e+00
7954    MSTRG.616 chr15  44181022  44181070      -     49  3.754402e+00
27016  MSTRG.1574 chr15  76191768  76193388      +   1621 -9.203875e-01
27028  MSTRG.1574 chr15  76191768  76193388      +   1621 -9.203875e-01
27041  MSTRG.1574 chr15  76191768  76193388      +   1621 -9.203875e-01
10407   MSTRG.739 chr15  49017540  49018564      +   1025  1.562590e+00
6253    MSTRG.467 chr15  34157332  34158298      +    967  4.392345e+00
6356    MSTRG.467 chr15  34157332  34158304      +    973  4.392345e+00
6460    MSTRG.467 chr15  34157332  34158304      +    973  4.392345e+00
6529    MSTRG.467 chr15  34157332  34158293      +    962  4.392345e+00
6589    MSTRG.467 chr15  34157332  34158298      +    967  4.392345e+00
6649    MSTRG.467 chr15  34157332  34158298      +    967  4.392345e+00
6707    MSTRG.467 chr15  34157332  34158305      +    974  4.392345e+00
34007  MSTRG.2151 chr15  90997660  90997784      +    125 -6.430130e-01
34046  MSTRG.2151 chr15  90997660  90997784      +    125 -6.430130e-01
34873  MSTRG.2229 chr15  99874128  99874334      +    207 -1.302721e+00
34882  MSTRG.2229 chr15  99874128  99874334      +    207 -1.302721e+00
18630  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18689  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18749  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18807  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18866  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18924  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
18984  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19044  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19104  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19162  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19223  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19281  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19340  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19398  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19457  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19516  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19574  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
19630  MSTRG.1205 chr15  62945361  62945513      +    153  8.523847e-01
14568   MSTRG.918 chr15  52181253  52181342      +     90 -9.693430e-01
14579   MSTRG.918 chr15  52181253  52181342      +     90 -9.693430e-01
1801    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
1886    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
1961    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2043    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2125    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2198    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2265    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2278    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2362    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
2409    MSTRG.178 chr15  25512059  25512191      +    133  1.035246e+00
30295  MSTRG.1813 chr15  84685135  84685251      +    117 -2.941908e+00
30325  MSTRG.1813 chr15  84685135  84685251      +    117 -2.941908e+00
15467   MSTRG.993 chr15  52571706  52571871      -    166  1.630033e+00
25090  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25119  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25148  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25177  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25206  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25233  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25260  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25288  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25317  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25345  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25373  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25402  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25431  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
25461  MSTRG.1497 chr15  73414866  73415141      +    276  2.772717e+00
29934  MSTRG.1793 chr15  83795924  83799759      -   3836  2.206237e+00
15825  MSTRG.1036 chr15  57838274  57838437      +    164 -6.658916e-01
15845  MSTRG.1036 chr15  57838274  57838437      +    164 -6.658916e-01
15865  MSTRG.1036 chr15  57838274  57838437      +    164 -6.658916e-01
15885  MSTRG.1036 chr15  57838274  57838437      +    164 -6.658916e-01
29383  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29403  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29414  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29426  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29438  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29458  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29467  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29479  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29490  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29502  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29514  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29526  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29536  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
29546  MSTRG.1768 chr15  83221230  83221366      -    137  2.861915e+00
15504  MSTRG.1002 chr15  52615552  52615641      -     90  2.486545e+00
15544  MSTRG.1002 chr15  52615552  52615641      -     90  2.486545e+00
10358   MSTRG.735 chr15  44085774  44088287      +   2514 -1.924648e+00
23935  MSTRG.1440 chr15  72040760  72040933      +    174 -3.436301e+00
23947  MSTRG.1440 chr15  72040760  72040933      +    174 -3.436301e+00
11856   MSTRG.794 chr15  41570965  41571087      +    123 -2.356455e-01
11864   MSTRG.794 chr15  41570965  41571087      +    123 -2.356455e-01
5345    MSTRG.411 chr15  35235252  35235652      +    401  3.614405e-01
9504    MSTRG.722 chr15  43695259  43698019      -   2761  1.717745e+00
34031  MSTRG.2151 chr15  91040464  91040572      +    109 -5.355860e-01
34069  MSTRG.2151 chr15  91040464  91040572      +    109 -5.355860e-01
7252    MSTRG.536 chr15  38818500  38818605      -    106  5.004118e+00
7269    MSTRG.536 chr15  38818500  38818605      -    106  5.004118e+00
7286    MSTRG.536 chr15  38818500  38818605      -    106  5.004118e+00
7302    MSTRG.536 chr15  38818500  38818605      -    106  5.004118e+00
17207  MSTRG.1124 chr15  59487660  59487766      -    107 -1.820291e-04
17235  MSTRG.1124 chr15  59487660  59487766      -    107 -1.820291e-04
31789  MSTRG.1961 chr15  89659553  89659752      +    200  5.116276e-01
31804  MSTRG.1961 chr15  89659553  89659752      +    200  5.116276e-01
10740   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10751   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10762   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10773   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10784   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10794   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
10803   MSTRG.751 chr15  40556982  40557190      +    209  3.020302e+00
23953  MSTRG.1442 chr15  71459151  71459528      -    378  6.941972e+00
23956  MSTRG.1442 chr15  71459151  71459528      -    378  6.941972e+00
23958  MSTRG.1442 chr15  71459151  71459528      -    378  6.941972e+00
23961  MSTRG.1442 chr15  71459151  71459528      -    378  6.941972e+00
17206  MSTRG.1124 chr15  59480317  59480415      -     99 -9.960241e-02
17234  MSTRG.1124 chr15  59480317  59480415      -     99 -9.960241e-02
34869  MSTRG.2229 chr15  99796103  99796330      +    228 -4.930206e-01
34878  MSTRG.2229 chr15  99796103  99796330      +    228 -4.930206e-01
30661  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30698  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30728  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30757  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30787  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30817  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30847  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30876  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30905  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
30927  MSTRG.1844 chr15  86270297  86270478      +    182 -2.204008e+00
28800  MSTRG.1721 chr15  81271272  81271818      -    547  6.029390e-01
5283    MSTRG.403 chr15  35044642  35045573      -    932  6.945749e+00
10379   MSTRG.736 chr15  44085857  44085957      -    101 -1.034463e+00
20911  MSTRG.1237 chr15  65862429  65862541      +    113  2.498864e+00
34013  MSTRG.2151 chr15  91016947  91017030      +     84 -8.908190e-01
34052  MSTRG.2151 chr15  91016947  91017030      +     84 -8.908190e-01
25870  MSTRG.1523 chr15  75266473  75266493      -     21 -6.333710e+00
14758   MSTRG.942 chr15  50550601  50550714      -    114  1.443295e+00
14770   MSTRG.942 chr15  50550601  50550714      -    114  1.443295e+00
10749   MSTRG.751 chr15  40532800  40532882      +     83  7.948517e+00
10760   MSTRG.751 chr15  40532800  40532882      +     83  7.948517e+00
10771   MSTRG.751 chr15  40532800  40532882      +     83  7.948517e+00
10782   MSTRG.751 chr15  40532800  40532882      +     83  7.948517e+00
10792   MSTRG.751 chr15  40532800  40532882      +     83  7.948517e+00
15766  MSTRG.1017 chr15  54768165  54768303      +    139  3.079584e+00
28849  MSTRG.1723 chr15  81565431  81565545      +    115 -2.011815e+00
28867  MSTRG.1723 chr15  81565431  81565545      +    115 -2.011815e+00
34021  MSTRG.2151 chr15  91025429  91025513      +     85 -2.867943e-01
34060  MSTRG.2151 chr15  91025429  91025513      +     85 -2.867943e-01
23269  MSTRG.1387 chr15  70975097  70975134      -     38 -2.581927e+00
23288  MSTRG.1387 chr15  70975097  70975134      -     38 -2.581927e+00
23307  MSTRG.1387 chr15  70975097  70975134      -     38 -2.581927e+00
15677  MSTRG.1013 chr15  54624241  54624309      +     69  6.336105e+00
15709  MSTRG.1013 chr15  54624241  54624309      +     69  6.336105e+00
15740  MSTRG.1013 chr15  54624241  54624309      +     69  6.336105e+00
11140   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11149   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11157   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11181   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11190   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11199   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
11208   MSTRG.759 chr15  40657039  40657154      +    116  3.951974e+00
13325   MSTRG.842 chr15  42694992  42695200      +    209 -1.488942e+00
13347   MSTRG.842 chr15  42694992  42695200      +    209 -1.488942e+00
13370   MSTRG.842 chr15  42694992  42695200      +    209 -1.488942e+00
13383   MSTRG.842 chr15  42694992  42695200      +    209 -1.488942e+00
7388    MSTRG.562 chr15  39877671  39877764      +     94 -2.838816e+00
7410    MSTRG.562 chr15  39877671  39877764      +     94 -2.838816e+00
26320  MSTRG.1553 chr15  75979617  75983153      -   3537  4.412487e-01
13579   MSTRG.845 chr15  42823611  42825256      +   1646 -1.786301e+00
31459  MSTRG.1933 chr15  90048161  90050007      -   1847  8.153138e+00
13562   MSTRG.845 chr15  42823611  42825259      +   1649 -1.784062e+00
13570   MSTRG.845 chr15  42823611  42825259      +   1649 -1.784062e+00
10742   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10753   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10764   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10775   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10786   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10796   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
10805   MSTRG.751 chr15  40564425  40564922      +    498  2.659525e+00
15455   MSTRG.993 chr15  52539655  52539789      -    135 -4.206057e-01
17197  MSTRG.1124 chr15  59430397  59430566      -    170  7.148601e-01
17225  MSTRG.1124 chr15  59430397  59430566      -    170  7.148601e-01
29033  MSTRG.1747 chr15  84115864  84116330      +    467  8.082744e+00
29043  MSTRG.1747 chr15  84115980  84116330      +    351  8.082744e+00
29052  MSTRG.1747 chr15  84115980  84116330      +    351  8.082744e+00
29061  MSTRG.1747 chr15  84115980  84116330      +    351  8.082744e+00
29071  MSTRG.1747 chr15  84115980  84116330      +    351  8.082744e+00
17256  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
17260  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
17271  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
17281  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
17290  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
17296  MSTRG.1127 chr15  59750749  59750845      +     97  6.557168e+00
35189  MSTRG.2247 chr15 101886947 101887982      -   1036  2.997897e+00
35203  MSTRG.2247 chr15 101886947 101887982      -   1036  2.997897e+00
15358   MSTRG.991 chr15  52416670  52416836      -    167  2.818592e+00
15377   MSTRG.991 chr15  52416670  52416836      -    167  2.818592e+00
15390   MSTRG.991 chr15  52416670  52416836      -    167  2.818592e+00
15401   MSTRG.991 chr15  52416670  52416836      -    167  2.818592e+00
15412   MSTRG.991 chr15  52416670  52416836      -    167  2.818592e+00
13259   MSTRG.841 chr15  42613983  42614218      +    236 -5.838355e-01
13300   MSTRG.841 chr15  42613983  42614218      +    236 -5.838355e-01
17198  MSTRG.1124 chr15  59445789  59445990      -    202  9.570774e-02
17226  MSTRG.1124 chr15  59445789  59445990      -    202  9.570774e-02
11724   MSTRG.786 chr15  41229616  41229724      +    109 -3.971489e+00
33418  MSTRG.2120 chr15  90222482  90222666      -    185  2.624472e+00
33438  MSTRG.2120 chr15  90222482  90222648      -    167  2.624472e+00
14645   MSTRG.930 chr15  52350830  52350994      +    165  2.154750e+00
15389   MSTRG.991 chr15  52414464  52414965      -    502  2.507564e+00
34890  MSTRG.2232 chr15  99927409  99930930      +   3522  1.602515e+00
28457  MSTRG.1707 chr15  80415099  80415142      +     44 -1.720586e+00
5268    MSTRG.399 chr15  34653601  34653733      -    133  5.304870e-01
33223  MSTRG.2074 chr15  94942190  94942291      +    102 -1.457975e+00
33243  MSTRG.2074 chr15  94942190  94942291      +    102 -1.457975e+00
33258  MSTRG.2074 chr15  94942190  94942291      +    102 -1.457975e+00
7387    MSTRG.562 chr15  39876501  39876623      +    123 -2.787617e+00
7409    MSTRG.562 chr15  39876501  39876623      +    123 -2.787617e+00
7498    MSTRG.570 chr15  40327891  40328701      -    811 -1.370194e+00
7503    MSTRG.570 chr15  40327891  40328701      -    811 -1.370194e+00
7509    MSTRG.570 chr15  40327891  40328701      -    811 -1.370194e+00
10323   MSTRG.733 chr15  44048847  44048964      +    118 -7.382145e-01
30287  MSTRG.1813 chr15  84592656  84592785      +    130 -3.942533e+00
30317  MSTRG.1813 chr15  84592656  84592785      +    130 -3.942533e+00
23315  MSTRG.1387 chr15  70994216  70994620      -    405 -4.306973e+00
10275   MSTRG.728 chr15  43990212  43990346      +    135  6.606022e+00
960     MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
999     MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1039    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1077    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1114    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1148    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1184    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1215    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1247    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
1272    MSTRG.111 chr15  25330337  25330469      +    133 -1.520784e+00
34017  MSTRG.2151 chr15  91019895  91020050      +    156 -5.748796e-01
34056  MSTRG.2151 chr15  91019895  91020050      +    156 -5.748796e-01
15678  MSTRG.1013 chr15  54625965  54626054      +     90  6.856670e+00
15710  MSTRG.1013 chr15  54625965  54626054      +     90  6.856670e+00
15741  MSTRG.1013 chr15  54625965  54626054      +     90  6.856670e+00
4230    MSTRG.287 chr15  29092833  29093504      +    672  5.155591e+00
26508  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26537  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26564  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26588  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26614  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26666  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
26691  MSTRG.1561 chr15  75648642  75648790      -    149 -2.074182e+00
29387  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29397  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29407  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29418  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29430  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29442  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29471  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29483  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29494  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29506  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29518  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29530  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
29550  MSTRG.1768 chr15  83226510  83226736      -    227  2.622733e+00
31732  MSTRG.1953 chr15  89456478  89456700      -    223 -3.677005e+00
31739  MSTRG.1953 chr15  89456478  89456700      -    223 -3.677005e+00
31755  MSTRG.1953 chr15  89456478  89456700      -    223 -3.677005e+00
31764  MSTRG.1953 chr15  89456478  89456700      -    223 -3.677005e+00
19627  MSTRG.1205 chr15  62939510  62939645      +    136  7.524650e-01
11123   MSTRG.758 chr15  40628775  40628865      -     91 -2.871765e+00
30004  MSTRG.1796 chr15  83718825  83718930      -    106 -7.469468e-01
30011  MSTRG.1796 chr15  83718825  83718930      -    106 -7.469468e-01
17367  MSTRG.1145 chr15  60656628  60656722      -     95 -2.664054e+00
17380  MSTRG.1145 chr15  60656628  60656722      -     95 -2.664054e+00
17394  MSTRG.1145 chr15  60656628  60656722      -     95 -2.664054e+00
17407  MSTRG.1145 chr15  60656628  60656722      -     95 -2.664054e+00
18633  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18692  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18752  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18810  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18869  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18927  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
18987  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19047  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19107  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19165  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19226  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19284  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19343  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19401  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19460  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19519  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19577  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
19633  MSTRG.1205 chr15  62966026  62966089      +     64  9.326698e-01
8379    MSTRG.646 chr15  45422192  45422296      +    105  0.000000e+00
8413    MSTRG.646 chr15  45422192  45422296      +    105  0.000000e+00
31110  MSTRG.1908 chr15  88419988  88420351      -    364  7.366087e+00
31130  MSTRG.1908 chr15  88419988  88420351      -    364  7.366087e+00
31148  MSTRG.1908 chr15  88419988  88420351      -    364  7.366087e+00
30276  MSTRG.1813 chr15  84488563  84488799      +    237 -2.601869e+00
30306  MSTRG.1813 chr15  84488563  84488799      +    237 -2.601869e+00
958     MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
997     MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1037    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1075    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1112    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1146    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1182    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1213    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
1245    MSTRG.111 chr15  25327736  25327852      +    117 -1.646372e+00
