GeneID Chr Start End Strand Length logFC.group2 logFC.group3 logFC.group4 logCPM LR PValue FDR
MSTRG.654.3 chr15 45879239 45983474 + 104236 0.1251509 0.6240738 0.1207991 9.1353321 11.89396 0.007755393 0.01234786
MSTRG.654.4 chr15 45879239 45901913 + 22675 0.4268916 0.1019607 -0.4542133 8.5330891 23.94875 2.560303E-05 5.883044E-05
MSTRG.654.5 chr15 45879282 45901911 + 22630 0.4265353 0.1019693 -0.4549165 8.5328482 23.92065 2.595116E-05 5.947024E-05
MSTRG.654.6 chr15 45879322 45901884 + 22563 0.4263556 0.1019703 -0.4552402 8.5327334 23.92314 2.592015E-05 5.94311E-05
MSTRG.654.8 chr15 45879576 45983441 + 103866 0.1251095 0.6266959 0.1218739 9.1329135 11.99208 0.007410335 0.01182494
MSTRG.656.1 chr15 46120901 46152597 + 31697 -0.7555372 -0.3514433 0.5715857 3.000945 15.99735 0.001135404 0.002047662
MSTRG.663.1 chr15 46049396 46049659 + 264 2.02845 -0.3598581 1.565969 0.926916 6.83318 0.0774093 0.1020406
MSTRG.665.1 chr15 46246122 46421263 + 175142 0.7672782 1.322936 0.8137032 4.7926561 15.47351 0.001453617 0.002583334
MSTRG.67.1 chr15 20580382 20839584 + 259203 2.54671 0.7349983 1.690598 7.1059365 28.45278 2.918025E-06 7.671728E-06
MSTRG.67.2 chr15 20580498 20839620 + 259123 2.546067 0.7306007 1.684895 7.103512 28.49028 2.865595E-06 7.538528E-06
MSTRG.670.1 chr15 46626017 46626431 + 415 1.849035 1.195133 1.03533 0.8243472 2.291026 0.5142423 0.5538294
MSTRG.672.1 chr15 46653932 46668615 + 14684 0.8657727 1.452767 0.367013 3.9124145 13.81804 0.00316359 0.005384538
MSTRG.674.1 chr15 46654830 46669366 + 14537 0.5959341 1.352037 0.2037085 4.0429024 11.41843 0.00966564 0.01517413
MSTRG.676.1 chr15 47411138 47411469 + 332 1.632611 1.48242 1.126141 0.8153373 1.900104 0.593397 0.6292309
MSTRG.677.1 chr15 47462404 47462820 + 417 0.4417767 0.3122356 -0.3757638 0.9721964 1.622337 0.6543357 0.6871893
MSTRG.68.1 chr15 20617219 20617437 + 219 1.92194 0.5853687 -0.4860966 1.9095548 34.11019 1.87786E-07 5.772931E-07
MSTRG.680.1 chr15 46904852 46905576 + 725 1.145856 2.264217 1.618554 1.51871 5.624356 0.1313871 0.1649393
MSTRG.681.1 chr15 47060061 47060327 + 267 0.6018501 3.057172 1.970527 1.7660223 25.16624 1.425279E-05 3.410918E-05
MSTRG.684.1 chr15 47290212 47294638 + 4427 0.9200719 2.241044 1.341143 3.3195162 23.75092 2.815682E-05 6.414584E-05
MSTRG.684.2 chr15 47290290 47316705 + 26416 0.9030793 1.949735 1.101003 3.5886687 19.12326 0.0002578143 0.0005135825
MSTRG.685.1 chr15 47423923 47425152 + 1230 -0.09843162 1.480394 0.6670728 3.8697476 21.9965 6.534052E-05 0.0001413272
MSTRG.685.10 chr15 47425588 47426249 + 662 1.461308 2.68856 2.195286 4.5010387 26.22363 8.562521E-06 2.127914E-05
MSTRG.685.2 chr15 47424220 47426249 + 2030 0.8831954 2.289074 1.758892 5.1651532 24.31411 2.147818E-05 4.994409E-05
MSTRG.685.3 chr15 47424220 47426249 + 2030 0.8831954 2.289074 1.758892 5.1651532 24.31411 2.147818E-05 4.994409E-05
MSTRG.685.4 chr15 47424220 47426249 + 2030 0.8831954 2.289074 1.758892 5.1651532 24.31411 2.147818E-05 4.994409E-05
MSTRG.685.5 chr15 47424758 47426249 + 1492 1.572684 2.857854 2.393257 4.6485297 24.67972 1.801403E-05 4.230373E-05
MSTRG.685.6 chr15 47424758 47426249 + 1492 1.572684 2.857854 2.393257 4.6485297 24.67972 1.801403E-05 4.230373E-05
MSTRG.685.7 chr15 47424760 47426249 + 1490 1.572684 2.857854 2.393257 4.6485297 24.67972 1.801403E-05 4.230373E-05
MSTRG.685.8 chr15 47424760 47426249 + 1490 1.572684 2.857854 2.393257 4.6485297 24.67972 1.801403E-05 4.230373E-05
MSTRG.685.9 chr15 47425263 47426249 + 987 1.527987 2.811565 2.365756 4.612371 24.97802 1.560476E-05 3.711567E-05
MSTRG.688.1 chr15 48212657 48212924 + 268 -1.012086 -5.989639 -0.6151351 1.246075 13.12374 0.004376509 0.007269196
MSTRG.690.1 chr15 48410651 48411015 + 365 -0.4540058 -0.0677039 0.5070841 1.2014267 2.860378 0.4136568 0.4581054
MSTRG.691.1 chr15 47476304 48066414 + 590111 -1.080908 -0.3219403 -0.5593066 10.6505495 30.44566 1.112071E-06 3.069345E-06
MSTRG.691.10 chr15 48009545 48066412 + 56868 -1.121481 -0.3564619 -0.5739635 10.6125845 32.12616 4.92266E-07 1.426969E-06
MSTRG.691.11 chr15 48009592 48066418 + 56827 -1.121659 -0.3564619 -0.5739635 10.6125561 32.13599 4.89922E-07 1.422107E-06
MSTRG.691.12 chr15 48009592 48066420 + 56829 -1.121659 -0.3564619 -0.5739635 10.6125561 32.13599 4.89922E-07 1.422107E-06
MSTRG.691.3 chr15 47476494 48066412 + 589919 -1.081366 -0.3219403 -0.5595761 10.650413 30.46345 1.102524E-06 3.046935E-06
MSTRG.691.4 chr15 48003223 48066420 + 63198 -1.119102 -0.3307025 -0.5718685 10.6217678 32.20113 4.746765E-07 1.380671E-06
MSTRG.691.5 chr15 48009303 48066418 + 57116 -1.120944 -0.3564619 -0.5739071 10.6126829 32.0917 5.005672E-07 1.447101E-06
MSTRG.691.6 chr15 48009509 48066418 + 56910 -1.121302 -0.3564619 -0.5739635 10.612613 32.11631 4.946242E-07 1.430889E-06
MSTRG.691.7 chr15 48009509 48066418 + 56910 -1.121302 -0.3564619 -0.5739635 10.612613 32.11631 4.946242E-07 1.430889E-06
MSTRG.691.8 chr15 48009509 48066418 + 56910 -1.121302 -0.3564619 -0.5739635 10.612613 32.11631 4.946242E-07 1.430889E-06
MSTRG.691.9 chr15 48009545 48066418 + 56874 -1.121481 -0.3564619 -0.5739635 10.6125845 32.12616 4.92266E-07 1.426969E-06
MSTRG.693.1 chr15 47607039 47608572 + 1534 0.08334714 -0.3889613 0.1225819 2.1681873 0.9575964 0.8115108 0.8304778
MSTRG.695.1 chr15 47636172 47636380 + 209 -1.350329 -0.5940097 -1.398228 1.1496155 4.818015 0.1856184 0.2227316
MSTRG.697.1 chr15 48609897 48621941 + 12045 1.152346 0.2274614 0.9939086 3.5694868 7.564065 0.05593499 0.07667341
MSTRG.698.1 chr15 48613866 48614338 + 473 1.372265 0.3662873 1.377604 2.0367478 5.015138 0.170692 0.2073869
MSTRG.700.1 chr15 48623130 48635595 + 12466 -0.2762658 -0.4094649 -0.325926 7.6891019 2.439334 0.4863546 0.5267195
MSTRG.700.2 chr15 48623130 48635595 + 12466 -0.2762658 -0.4094649 -0.325926 7.6891019 2.439334 0.4863546 0.5267195
MSTRG.706.1 chr15 48470028 48495951 + 25924 5.819578 0.5108467 0.6847881 3.1387353 118.6438 1.511826E-25 1.52505E-24
MSTRG.706.2 chr15 48470028 48495896 + 25869 5.819578 0.5108467 0.6847881 3.1387353 118.6438 1.511826E-25 1.52505E-24
MSTRG.706.3 chr15 48470028 48493860 + 23833 5.583689 0.5099105 0.6833689 2.9489089 104.5278 1.650907E-22 1.467588E-21
MSTRG.706.4 chr15 48470028 48493860 + 23833 5.583689 0.5099105 0.6833689 2.9489089 104.5278 1.650907E-22 1.467588E-21
MSTRG.706.6 chr15 48484197 48495941 + 11745 7.81362 0 1.413115 2.1920447 116.8846 3.616764E-25 3.605778E-24
MSTRG.715.1 chr15 43598825 43652849 + 54025 -0.8851596 -0.9273634 -1.261563 7.6082601 34.5241 1.53554E-07 4.772141E-07
MSTRG.717.1 chr15 43621633 43646680 + 25048 -1.5363 -1.566803 -2.356647 6.6727373 97.76784 4.692416E-21 3.667132E-20
MSTRG.719.1 chr15 43660438 43769528 + 109091 1.202532 -0.3683415 0.294799 8.8798794 76.31414 1.894181E-16 1.151349E-15
MSTRG.719.2 chr15 43715574 43769528 + 53955 1.60817 -0.045656 0.8380679 7.09228 55.45531 5.490015E-12 2.529794E-11
MSTRG.723.1 chr15 43803129 43823843 + 20715 2.330548 -6.224629 -3.597996 10.4178365 362.7127 2.63537E-78 1.147462E-76
MSTRG.725.2 chr15 43885840 43891602 + 5763 10.92797 0 4.858656 4.8221011 226.8103 6.767568E-49 1.504021E-47
MSTRG.728.2 chr15 43985809 43991416 + 5608 9.782961 2.752943 4.795424 3.8433798 149.6447 3.143427E-32 3.980119E-31
MSTRG.728.3 chr15 43985817 43991409 + 5593 9.780919 2.752883 4.795037 3.8415821 148.9665 4.402556E-32 5.525208E-31
MSTRG.739.1 chr15 49017540 49018564 + 1025 1.102342 -0.02406291 -1.080393 7.035921 52.05737 2.911937E-11 1.266589E-10
MSTRG.742.1 chr15 49055588 49055847 + 260 0.104401 -0.9478481 -0.3894268 0.7917126 1.281804 0.7334583 0.7604034
MSTRG.745.1 chr15 49170286 49175279 + 4994 -0.6693555 -1.334266 -1.622785 10.2214364 57.65799 1.859696E-12 8.866283E-12
MSTRG.746.1 chr15 49184065 49212512 + 28448 0.3201547 -0.8673574 0.2011716 2.7270888 6.001468 0.1115388 0.1419434
MSTRG.75.1 chr15 23963756 23964717 + 962 6.159808 5.125873 5.873906 1.688064 14.74385 0.002049158 0.003576179
MSTRG.751.4 chr15 40530748 40569688 + 38941 2.286418 -3.286847 -0.5445729 6.4949794 89.17606 3.292459E-19 2.314485E-18
MSTRG.751.5 chr15 40530748 40569688 + 38941 2.286418 -3.286847 -0.5445729 6.4949794 89.17606 3.292459E-19 2.314485E-18
MSTRG.752.1 chr15 40522591 40522908 + 318 0.2569309 0.9394669 0.4903406 2.581021 2.389582 0.4955769 0.5353485
MSTRG.759.1 chr15 40625499 40670818 + 45320 -0.3314652 -4.016948 -1.636371 7.7539371 172.4332 3.796155E-37 5.453937E-36
MSTRG.759.10 chr15 40650441 40714832 + 64392 -0.6006296 0.7622644 -1.407659 9.9839623 141.0455 2.249238E-30 2.726562E-29
MSTRG.759.11 chr15 40650447 40720262 + 69816 -0.5968225 0.7622669 -1.382362 9.9920702 138.8447 6.70738E-30 7.972253E-29
MSTRG.759.12 chr15 40695545 40750141 + 54597 -1.277486 0.8002136 -1.388155 9.8392358 150.9226 1.666251E-32 2.122357E-31
MSTRG.759.15 chr15 40697955 40713497 + 15543 -1.349339 0.8017743 -1.505057 9.7942606 158.1927 4.499326E-34 5.835448E-33
MSTRG.759.16 chr15 40697967 40713444 + 15478 -1.349339 0.8017743 -1.505057 9.7942606 158.1927 4.499326E-34 5.835448E-33
MSTRG.759.18 chr15 40733283 40760433 + 27151 0.1503042 0.4656406 0.3699558 7.431741 3.661905 0.3003626 0.3430534
MSTRG.759.19 chr15 40733283 40760435 + 27153 0.1503042 0.4656406 0.3699558 7.431741 3.661905 0.3003626 0.3430534
MSTRG.759.2 chr15 40642061 40713444 + 71384 -0.600203 0.762311 -1.408422 9.9828896 139.8365 4.099411E-30 4.955294E-29
MSTRG.759.20 chr15 40733319 40760488 + 27170 0.1503042 0.4656406 0.3699558 7.431741 3.661905 0.3003626 0.3430534
MSTRG.759.3 chr15 40650434 40714832 + 64399 -0.6006296 0.7622644 -1.407659 9.9839623 141.0455 2.249238E-30 2.726562E-29
MSTRG.759.5 chr15 40650436 40760430 + 109995 -0.4723132 0.730915 -1.005376 10.2309876 91.22869 1.192974E-19 8.598683E-19
MSTRG.759.6 chr15 40650436 40670818 + 20383 5.242371 -0.03730596 0.7407212 6.180707 221.0895 1.167369E-47 2.503098E-46
MSTRG.759.7 chr15 40650436 40670818 + 20383 5.242371 -0.03730596 0.7407212 6.180707 221.0895 1.167369E-47 2.503098E-46
MSTRG.759.8 chr15 40650441 40670861 + 20421 5.242371 -0.03730596 0.7407212 6.180707 221.0895 1.167369E-47 2.503098E-46
MSTRG.759.9 chr15 40650441 40714832 + 64392 -0.6006296 0.7622644 -1.407659 9.9839623 141.0455 2.249238E-30 2.726562E-29
MSTRG.76.1 chr15 23983423 23983625 + 203 0.5257606 0.1367149 1.140891 1.0050466 2.364392 0.5002974 0.5400377
MSTRG.764.1 chr15 40794026 40801922 + 7897 -1.043594 0.1014086 -0.5343311 3.0679277 10.98163 0.01182562 0.01830248
MSTRG.768.1 chr15 40943496 40985233 + 41738 0.413797 0.1719555 0.9638541 6.9790553 8.842983 0.03145303 0.04511262
MSTRG.77.1 chr15 23983919 24146019 + 162101 -0.8534587 -0.08495066 -1.010598 4.9920799 18.793 0.0003017082 0.0005938141
MSTRG.771.1 chr15 40974306 40976455 + 2150 0.5177965 0.3277493 -0.225624 3.2368696 4.423638 0.2192036 0.258954
MSTRG.771.10 chr15 40974505 40976447 + 1943 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.11 chr15 40974505 40976447 + 1943 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.12 chr15 40974511 40976455 + 1945 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.2 chr15 40974306 40976454 + 2149 0.5177965 0.3277493 -0.225624 3.2368696 4.423638 0.2192036 0.258954
MSTRG.771.3 chr15 40974306 40976454 + 2149 0.5177965 0.3277493 -0.225624 3.2368696 4.423638 0.2192036 0.258954
MSTRG.771.4 chr15 40974306 40976454 + 2149 0.5177965 0.3277493 -0.225624 3.2368696 4.423638 0.2192036 0.258954
MSTRG.771.5 chr15 40974502 40976459 + 1958 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.6 chr15 40974502 40976459 + 1958 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.7 chr15 40974502 40976459 + 1958 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.8 chr15 40974502 40976459 + 1958 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.771.9 chr15 40974505 40976447 + 1943 0.4731209 0.3342998 -0.2818476 3.2078355 4.921026 0.1776722 0.2147669
MSTRG.774.1 chr15 41036307 41044207 + 7901 1.94863 2.481556 2.098051 6.5241006 55.48088 5.42147E-12 2.506329E-11
MSTRG.779.1 chr15 41099250 41106742 + 7493 -0.146333 0.8372488 0.04661218 6.6417117 20.11193 0.0001609127 0.0003313317
MSTRG.781.1 chr15 41112067 41114940 + 2874 0.0428737 0.6557828 0.2087075 3.1788294 1.982165 0.5761166 0.6136519
MSTRG.791.1 chr15 41455321 41456946 + 1626 -1.181802 -1.289598 -2.031885 6.1725119 59.56297 7.288005E-13 3.637183E-12
MSTRG.791.2 chr15 41455322 41466600 + 11279 -1.096881 -1.137126 -1.799339 6.4295607 54.37368 9.339373E-12 4.208142E-11
MSTRG.794.1 chr15 41470183 41598761 + 128579 0.2456497 0.7140988 -0.6680126 11.0778951 33.61625 2.387395E-07 7.224833E-07
MSTRG.794.2 chr15 41523303 41598761 + 75459 0.2507099 0.7177498 -0.6765031 11.0520064 33.54404 2.472662E-07 7.461702E-07
MSTRG.794.4 chr15 41539155 41598737 + 59583 0.2596534 0.7013724 -0.688801 11.0101658 33.65256 2.345648E-07 7.118693E-07
MSTRG.794.5 chr15 41545904 41574085 + 28182 -0.4798598 1.43398 -0.478851 10.0246241 99.45155 2.039003E-21 1.647808E-20
MSTRG.794.6 chr15 41576159 41598761 + 22603 0.6505856 -0.3517319 -0.9000392 9.9867425 35.09495 1.163254E-07 3.663178E-07
MSTRG.794.8 chr15 41585690 41598761 + 13072 0.6853967 -0.3705832 -0.94628 9.8971164 38.18855 2.578241E-08 8.608259E-08
MSTRG.794.9 chr15 41587059 41598761 + 11703 0.6854913 -0.3714223 -0.9496319 9.8954822 38.32717 2.409756E-08 8.058329E-08
MSTRG.796.1 chr15 41478976 41479238 + 263 -1.696223 0.9987461 -3.069172 3.3690614 124.6228 7.792725E-27 8.312889E-26
MSTRG.802.1 chr15 41614863 41676327 + 61465 -0.2234446 0.83777 0.379844 6.1299575 12.60511 0.005573268 0.009049138
MSTRG.802.2 chr15 41674019 41676327 + 2309 -1.052815 0.420508 -0.9555369 2.9658878 10.07074 0.01797427 0.02692039
MSTRG.802.3 chr15 41674081 41676327 + 2247 -1.056066 0.4214965 -1.026918 2.9548926 11.17065 0.01083798 0.01687183
MSTRG.802.4 chr15 41674081 41676135 + 2055 0.4495041 2.106976 0.330623 2.5362651 11.8662 0.007855857 0.01249849
MSTRG.804.1 chr15 41639098 41728692 + 89595 -0.05740551 0.5347157 -0.1195314 7.6691594 13.50044 0.003670381 0.006187877
MSTRG.806.1 chr15 41686490 41688875 + 2386 0.09257156 0.9057917 -0.6644979 5.1827928 28.50226 2.849036E-06 7.499592E-06
MSTRG.807.1 chr15 41689736 41692102 + 2367 1.231374 0.7439473 1.626583 3.1298027 5.906306 0.1162587 0.1474661
MSTRG.815.1 chr15 41849055 41849874 + 820 -0.866334 -0.9301069 -2.097244 7.3741107 50.76452 5.491111E-11 2.333722E-10
MSTRG.818.1 chr15 41934729 42224172 + 289444 -0.9528808 -0.9360686 -0.4050564 9.9511302 43.63702 1.802352E-09 6.787854E-09
MSTRG.819.1 chr15 41952610 42120069 + 167460 -0.1018155 -0.4763368 -0.2877212 8.8305925 7.162578 0.0668925 0.08953271
MSTRG.819.12 chr15 42066666 42120069 + 53404 1.223538 -0.04753832 0.5844147 7.4215477 41.87487 4.265082E-09 1.535789E-08
MSTRG.819.13 chr15 42066683 42120065 + 53383 1.223538 -0.04753832 0.5844147 7.4215477 41.87487 4.265082E-09 1.535789E-08
MSTRG.819.14 chr15 42066683 42120065 + 53383 1.223538 -0.04753832 0.5844147 7.4215477 41.87487 4.265082E-09 1.535789E-08
MSTRG.819.15 chr15 42066684 42120059 + 53376 1.223538 -0.04753832 0.5844147 7.4215477 41.87487 4.265082E-09 1.535789E-08
MSTRG.819.16 chr15 42068914 42120060 + 51147 1.180171 -0.04923084 0.552201 7.3848044 38.44133 2.279271E-08 7.639945E-08
MSTRG.819.17 chr15 42094626 42120069 + 25444 1.267672 -1.296576 0.6126032 7.0125232 93.54869 3.786079E-20 2.829282E-19
MSTRG.819.4 chr15 41952640 42120069 + 167430 -0.1018155 -0.4763368 -0.2877212 8.8305925 7.162578 0.0668925 0.08953271
MSTRG.819.5 chr15 42028560 42061967 + 33408 -0.4329034 -0.1759874 -0.2630232 7.1577609 2.617764 0.4543838 0.4977806
MSTRG.819.6 chr15 42044328 42091856 + 47529 -0.2237098 0.240464 -0.2644788 7.2566398 4.380398 0.2232099 0.2627411
MSTRG.823.1 chr15 42017747 42085711 + 67965 -0.2148662 0.02406037 -0.2206422 7.5531824 1.443372 0.6954003 0.7246089
MSTRG.824.1 chr15 42033972 42056783 + 22812 -0.119306 -0.03945482 -0.09078241 5.7402363 0.149388 0.9853137 0.9873963
MSTRG.825.1 chr15 42120270 42140364 + 20095 -0.02629923 -0.9524344 0.8865886 7.4740829 23.2128 3.646163E-05 8.188514E-05
MSTRG.825.2 chr15 42120270 42140342 + 20073 -0.02629923 -0.9524344 0.8865886 7.4740829 23.2128 3.646163E-05 8.188514E-05
MSTRG.825.3 chr15 42120279 42140341 + 20063 -0.02629923 -0.9524344 0.8865886 7.4740829 23.2128 3.646163E-05 8.188514E-05
MSTRG.825.4 chr15 42120279 42209516 + 89238 -1.846979 -1.368662 -0.4889332 8.9461836 59.13779 8.983172E-13 4.42113E-12
MSTRG.825.5 chr15 42120282 42140335 + 20054 -0.02629923 -0.9524344 0.8865886 7.4740829 23.2128 3.646163E-05 8.188514E-05
MSTRG.835.1 chr15 42383867 42384289 + 423 0.5486555 2.626682 0.5411777 2.4885193 26.58099 7.206765E-06 1.799372E-05
MSTRG.84.1 chr15 24256336 24293593 + 37258 0.1068581 1.430349 -0.1930994 3.744422 24.80976 1.692124E-05 4.009047E-05
MSTRG.841.1 chr15 42565410 42645864 + 80455 0.1041741 0.4868726 1.64318 7.5453462 48.63054 1.563425E-10 6.451774E-10
MSTRG.842.5 chr15 42696933 42704514 + 7582 2.325883 0.2770287 1.996262 7.6180233 62.08695 2.105059E-13 1.075723E-12
MSTRG.842.6 chr15 42696937 42704514 + 7578 2.325881 0.2770314 1.995664 7.6178125 62.10883 2.082504E-13 1.066752E-12
MSTRG.845.3 chr15 42787823 42825256 + 37434 -1.774808 -0.7691315 -0.3117484 8.4759336 95.47834 1.457185E-20 1.110323E-19
MSTRG.847.1 chr15 42833113 42865026 + 31914 -2.574709 -1.80415 -1.647748 9.7995468 179.2006 1.312523E-38 1.978988E-37
MSTRG.848.1 chr15 42840638 42862183 + 21546 0.2978688 -0.1892797 0.2449735 6.9125368 4.788371 0.187966 0.2253585
MSTRG.848.4 chr15 42841039 42862183 + 21145 0.2763273 -0.2035426 0.2230573 6.8969709 4.527074 0.209888 0.2491909
MSTRG.849.1 chr15 42867836 43013692 + 145857 -0.7147694 -0.1470353 0.4185225 8.4791839 29.8128 1.511024E-06 4.10933E-06
MSTRG.849.3 chr15 42947000 43013692 + 66693 -0.7707995 -2.412352 0.7481896 7.3257719 128.2219 1.306877E-27 1.467485E-26
MSTRG.850.1 chr15 42870393 42893636 + 23244 -0.6991479 0.7411117 -0.1790203 7.4663062 31.30593 7.32857E-07 2.081958E-06
MSTRG.855.1 chr15 43154805 43394259 + 239455 -0.8201454 -0.9182251 -0.3851736 8.9279891 37.56057 3.501591E-08 1.158239E-07
MSTRG.857.1 chr15 43239073 43256642 + 17570 -0.1484329 -0.7344702 0.3210852 5.362276 11.74657 0.008303713 0.01314241
MSTRG.858.1 chr15 43296590 43369890 + 73301 -0.5353778 -0.5209971 -0.5967239 7.4125126 9.733556 0.02097223 0.03111562
MSTRG.858.2 chr15 43297729 43369857 + 72129 -0.5502137 -0.5263415 -0.6081616 7.3951994 10.11956 0.01757666 0.02634338
MSTRG.858.3 chr15 43297729 43307837 + 10109 0.4873473 -0.08940837 0.1351372 5.028032 4.055037 0.2555821 0.2962697
MSTRG.858.4 chr15 43297731 43307833 + 10103 0.4873473 -0.08940837 0.1351372 5.028032 4.055037 0.2555821 0.2962697
MSTRG.858.5 chr15 43306245 43307827 + 1583 1.069357 0.4704678 0.8705068 3.4935529 7.328587 0.06213027 0.08397526
MSTRG.858.6 chr15 43366677 43369409 + 2733 -0.3285837 1.041195 0.4651318 4.5257424 12.1717 0.006817545 0.01094449
MSTRG.858.7 chr15 43368154 43369406 + 1253 -0.3475843 1.210469 0.6340165 4.3167312 12.43752 0.006025248 0.009742226
MSTRG.858.8 chr15 43368154 43369857 + 1704 0.05233599 1.235891 0.8998845 4.8230955 11.6651 0.008623044 0.01363265
MSTRG.860.1 chr15 43320674 43341696 + 21023 -0.7099599 -0.7075061 -0.9458903 5.1843947 13.71628 0.003317917 0.005629246
MSTRG.861.1 chr15 51940520 51940725 + 206 -0.3086443 -0.3827825 0.4714249 1.3904329 3.13801 0.3708324 0.4161867
MSTRG.862.1 chr15 51929522 51929802 + 281 0.06491675 0.3268402 0.7307422 1.6640892 1.782305 0.6187932 0.6529155
MSTRG.863.1 chr15 51469300 51470957 + 1658 0.4382152 0.7013444 0.3697962 2.6243011 1.657883 0.6463375 0.6794744
MSTRG.866.2 chr15 49447959 49454184 + 6226 -1.055955 -1.952086 -2.266011 4.5965628 38.5911 2.118745E-08 7.11305E-08
MSTRG.871.1 chr15 49638507 49646232 + 7726 1.205152 -0.4318833 0.7159927 2.3180158 8.057706 0.04483402 0.06255349
MSTRG.874.1 chr15 49795174 49795619 + 446 4.618228 4.914694 4.572893 0.8474791 5.473695 0.1402204 0.1745393
MSTRG.878.1 chr15 49842928 49843228 + 301 -1.819475 -0.9947645 -1.291215 1.9765565 10.65454 0.0137484 0.02091424
MSTRG.879.1 chr15 49877040 49877292 + 253 -0.9552318 2.269602 -1.046812 1.8413646 54.84683 7.402721E-12 3.367528E-11
MSTRG.881.1 chr15 49905460 49948388 + 42929 0.2490987 -0.8469049 0.2130389 7.1298081 22.69211 4.681195E-05 0.0001040889
MSTRG.881.2 chr15 49913111 49948463 + 35353 0.2682997 -0.9338235 0.2321602 7.0769434 26.08717 9.144874E-06 2.262097E-05
MSTRG.881.3 chr15 49913111 49948429 + 35319 0.2682997 -0.9338235 0.2321602 7.0769434 26.08717 9.144874E-06 2.262097E-05
MSTRG.881.4 chr15 49913152 49948463 + 35312 0.2682997 -0.9338235 0.2321602 7.0769434 26.08717 9.144874E-06 2.262097E-05
MSTRG.881.7 chr15 49913239 49948403 + 35165 0.2677739 -0.9338206 0.2321582 7.076778 26.08249 9.165528E-06 2.26327E-05
MSTRG.881.8 chr15 49914530 49937560 + 23031 -0.1764782 -0.8468884 0.3713693 6.7191903 18.5094 0.0003452832 0.00067429
MSTRG.882.1 chr15 49994587 49995934 + 1348 -0.2363802 -0.5701562 0.09410143 1.6218645 1.229786 0.7458697 0.7719199
MSTRG.885.1 chr15 50071517 50126754 + 55238 0.8639705 0.02538147 0.03430474 6.8760061 18.51799 0.0003438756 0.0006718485
MSTRG.888.1 chr15 50084821 50085035 + 215 -0.7131624 -5.972503 -1.881762 1.0388267 14.60675 0.002185503 0.003801688
MSTRG.889.1 chr15 50086459 50087237 + 779 1.327563 0.09719723 0.4499405 4.7737896 24.86644 1.646588E-05 3.905498E-05
MSTRG.890.1 chr15 50087591 50088644 + 1054 0.73098 -0.03841354 -0.2882206 5.3096389 18.10612 0.0004182293 0.000805928
MSTRG.891.1 chr15 50090320 50091317 + 998 0.9378146 -0.5959993 -0.1261463 4.4236015 24.26307 2.201194E-05 5.104617E-05
MSTRG.895.1 chr15 50128748 50129180 + 433 0.1437132 -0.4024198 -1.002128 1.1963157 4.650842 0.1992237 0.2379199
MSTRG.897.1 chr15 50173027 50173230 + 204 -1.656342 -0.9711605 0.5507668 1.8941899 6.715478 0.08154115 0.1069914
MSTRG.898.1 chr15 50262836 50263059 + 224 4.623702 5.158403 4.984622 0.9753461 7.42412 0.05954054 0.0810397
MSTRG.90.1 chr15 24664494 24664935 + 442 -0.05820439 -0.001981003 0.2733174 0.9568852 0.3653465 0.9473043 0.9524381
MSTRG.907.1 chr15 51586101 51587194 + 1094 0.5994342 2.431202 0.5414634 3.4389439 32.74377 3.647435E-07 1.073352E-06
MSTRG.907.2 chr15 51586110 51587194 + 1085 0.5994342 2.431202 0.5414634 3.4389439 32.74377 3.647435E-07 1.073352E-06
MSTRG.907.3 chr15 51586149 51587092 + 944 0.5412466 2.432595 0.5289215 3.4230159 32.03759 5.138866E-07 1.482592E-06
MSTRG.907.4 chr15 51586149 51587092 + 944 0.5412466 2.432595 0.5289215 3.4230159 32.03759 5.138866E-07 1.482592E-06
MSTRG.911.1 chr15 51633597 51700195 + 66599 0.8709264 -4.935033 -0.8275389 7.0007219 187.9856 1.662377E-40 2.70739E-39
MSTRG.911.3 chr15 51633762 51700195 + 66434 0.8709264 -4.935033 -0.8275389 7.0007219 187.9856 1.662377E-40 2.70739E-39
MSTRG.912.1 chr15 51700724 51701197 + 474 0.746431 1.990427 0.4636732 1.8216876 10.93623 0.01207574 0.018649
MSTRG.916.1 chr15 52387657 52387986 + 330 -1.5412 -0.4455376 -0.819226 7.9434823 29.87832 1.463832E-06 3.991163E-06
MSTRG.918.1 chr15 52121149 52209606 + 88458 -0.4321738 0.8493602 1.555681 8.78195 105.8466 8.590773E-23 8.038778E-22
MSTRG.918.3 chr15 52152851 52241913 + 89063 -0.4886334 0.6920776 1.394959 8.893066 112.7104 2.864012E-24 2.796508E-23
